0,139158784,75*y' - 76 = 0,add -76 mul 75 y',c + 76*x/75,add c mul div 76 75 x
1,170696246,x^2*y' - 2 = 0,add -2 mul pow x 2 y',(c*x + x/4 - 2)/x,mul pow x -1 add add -2 mul div 1 4 x mul c x
2,16014670,4*x^2 - x*y' + y + 5 = 0,add add add 5 mul 4 pow x 2 mul mul -1 x y' y,x*(c + 4*x) - 5,add -5 mul x add c mul 4 x
3,1502281,(ln(1/x) - 1)*(1/x)^x + y' - 3 = 0,add add -3 mul pow pow x -1 x add -1 log pow x -1 y',c + 3*x - (1/x)^x,add sub c pow pow x -1 x mul 3 x
4,105636002,15*y' - 2 = 0,add -2 mul 15 y',c + 2*x/15,add c mul div 2 15 x
5,3762960,2*5^x*x^2*ln(5) - x*y' + y = 0,add add mul mul -1 x y' mul mul mul 2 pow 5 x pow x 2 log 5 y,x*(2*5^x + c),mul x add c mul 2 pow 5 x
6,869125553,x^2 - 8*x*y' + 8*y = 0,add add pow x 2 mul 8 y mul mul -8 x y',-x*(c - x/4)/2,mul mul div -1 2 x add c mul div -1 4 x
7,180780426,9*x^2 + 4*x*y' - 4*y + 12 = 0,add add add 12 mul -4 y mul 9 pow x 2 mul mul 4 x y',c*x - 9*x^2/4 - 15*x/4 + 3,add add add 3 mul div -15 4 x mul div -9 4 pow x 2 mul c x
8,471280538,y' = 0,y',-(c*x + x)/(5*x),mul div div -1 5 x add x mul c x
9,8385980,x^2*y' + 2*x*y - 5*y' = 0,add add mul -5 y' mul pow x 2 y' mul mul 2 x y,c/(x^2 - 5),div c add -5 pow x 2
10,6315557,32*y' - 1 = 0,add -1 mul 32 y',c + x/32,add c mul div 1 32 x
11,195923234,15*x*y*ln(7) + x*y' - 16*y*ln(y) = 0,add add mul x y' mul mul -16 y log y mul mul mul 15 x y log 7,(7*e^(c*x^15))^x,pow mul 7 exp mul c pow x 15 x
12,2768447,x^x*(ln(x) + 1)*cos(x^x) + y' = 0,add mul mul pow x x add 1 log x cos pow x x y',c - sin(x^x),sub c sin pow x x
13,473835575,-30*x*sin(x^2) + y' = 0,add mul mul -30 x sin pow x 2 y',c - 15*cos(x^2),add c mul -15 cos pow x 2
14,2728954,x^3*y^2 + y' = 0,add mul pow x 3 pow y 2 y',4/(c + x^4),div 4 add c pow x 4
15,9428825,-x*cos(x) + x*y' - y + sin(x) = 0,add add add mul -1 y mul x y' mul mul -1 x cos x sin x,c*x - x + sin(x),add add mul -1 x mul c x sin x
16,399403467,x*y' - y + 3 = 0,add sub 3 y mul x y',c*x - x/7 + 3,add add 3 mul div -1 7 x mul c x
17,148135297,x*y' - y*ln(y) + y*ln(2) = 0,add add mul x y' mul y log 2 mul mul -1 y log y,2*2^(c*x),mul 2 pow 2 mul c x
18,4090517,x*y' + 10*x - 6*y + 24 = 0,add add add 24 mul -6 y mul 10 x mul x y',c*x^6 + 2*x + 4,add add 4 mul 2 x mul c pow x 6
19,497739083,x*y' + y - 3*y' = 0,add add mul -3 y' mul x y' y,c/(x/4 - 3/4),div c add div -3 4 mul div 1 4 x
20,3177992,x*y' - y - 4 = 0,add sub -4 y mul x y',-c*x*(4 - 4*sin(5))/(-4 + 4*sin(5)) - x - 4,add sub -4 x mul div mul mul -1 c x add -4 mul 4 sin 5 add 4 mul -4 sin 5
21,3249344,x*e^(5)*y' - 3*y = 0,add mul -3 y mul mul x y' exp 5,c*x^(3*e^(-5)),mul c pow x mul 3 exp -5
22,5703458,2*x*y' + 2*y + 1 = 0,add add 1 mul 2 y mul mul 2 x y',c/x - 1/2,add div -1 2 div c x
23,9885061,x*y' + y - 55 = 0,add add -55 mul x y' y,c/x + 55,add 55 div c x
24,82990166,x*cos(x) + x*y' - y - sin(x) = 0,add add sub mul -1 y sin x mul x y' mul x cos x,c*x + 2*x - sin(x),add add mul -1 sin x mul 2 x mul c x
25,8515288,x*y' + y = 0,add mul x y' y,-15/(c*x + x),div -15 add x mul c x
26,3739134,x*e^(y)*y' - e^(y) - 2 = 0,add sub -2 exp y mul mul x y' exp y,ln(c*x - 2),log add -2 mul c x
27,2040211,x^2*y' - 16 = 0,add -16 mul pow x 2 y',(c*x - 16)/x,mul pow x -1 add -16 mul c x
28,302946958,x*y' - y*ln(y + 4) - 4*ln(y + 4) = 0,add add mul -4 log add 4 y mul x y' mul mul -1 y log add 4 y,5^(c*x) - 4,add -4 pow 5 mul c x
29,1516139,5*x^7*y' + 24 = 0,add 24 mul mul 5 pow x 7 y',c + 4/(5*x^6),add c mul div 4 5 pow x -6
30,7959627,y' = 0,y',x/(c*x + x) - 4,add -4 div x add x mul c x
31,19781150,80*x^2*y' - 160*x*y + 320*x - y' = 0,add add add mul -1 y' mul 320 x mul mul -160 x y mul mul 80 pow x 2 y',c*(5*x^2 - 1/16) + 2,add 2 mul c add div -1 16 mul 5 pow x 2
32,8490887,cos(x) + y' - 32 = 0,add add -32 y' cos x,c + 32*x - sin(x),add sub c sin x mul 32 x
33,8842847,x^2 - x*y' + y - 2 = 0,add add add -2 pow x 2 mul mul -1 x y' y,x*(c + x) - x + 2,add sub 2 x mul x add c x
34,5614384,y*ln(2) + y' + ln(2) = 0,add add mul y log 2 y' log 2,-1 + c/2^x,add -1 mul c pow 2 mul -1 x
35,679043915,6*x - 3*y' - 10 = 0,add add -10 mul -3 y' mul 6 x,c + x*(x - 3) - x/3,add add c mul div -1 3 x mul x add -3 x
36,3955473,11*x^2 - 4*x*y' + 4*y = 0,add add mul 4 y mul 11 pow x 2 mul mul -4 x y',x*(c + 11*x/4),mul x add c mul div 11 4 x
37,3081159,2*x^2 + x*y' - y + 3 = 0,add add sub 3 y mul 2 pow x 2 mul x y',x*(c - 2*x) + 3,add 3 mul x add c mul -2 x
38,1888318,y' + sin(20) = 0,add y' sin 20,c - x*sin(20),add c mul mul -1 x sin 20
39,991303301,-2^(5^x)*5^x*ln(2)*ln(5) + y' - 1 = 0,add add -1 mul mul mul mul -1 pow 2 pow 5 x pow 5 x log 2 log 5 y',2^(5^x) + c + x,add add c x pow 2 pow 5 x
40,8018352,2*x^2*y^2 + 5*x*y' - 4*y^2 + 5*y = 0,add add add mul -4 pow y 2 mul 5 y mul mul 2 pow x 2 pow y 2 mul mul 5 x y',5/(x*(c + 2*x) + 2*x + 4),div 5 add add 4 mul 2 x mul x add c mul 2 x
41,8978274,x*y' - 8*x - 2*y - 4 = 0,add add add -4 mul -8 x mul -2 y mul x y',-x*(c*x + 8) - 2,add -2 mul mul -1 x add 8 mul c x
42,630020094,x^2 - x*y' + y + 4 = 0,add add add 4 pow x 2 mul mul -1 x y' y,x*(c + x) + 3*x - 4,add add -4 mul 3 x mul x add c x
43,641190014,x*y' - 2*y*ln(1 - y) + 2*ln(1 - y) = 0,add add mul 2 log sub 1 y mul x y' mul mul -2 y log sub 1 y,1 - e^(c*x^2),sub 1 exp mul c pow x 2
44,741037,2*x*y*cos(x^2 + 3) + 4*x*cos(x^2 + 3) - sin(x^2 + 3)*y' = 0,add add mul mul -1 y' sin add 3 pow x 2 mul mul 4 x cos add 3 pow x 2 mul mul mul 2 x cos add 3 pow x 2 y,c*sin(x^2 + 3) - 2,add -2 mul c sin add 3 pow x 2
45,1828397,-y^2 + 8*y' = 0,add mul -1 pow y 2 mul 8 y',-2/(c + x/4),div -2 add c mul div 1 4 x
46,913639084,x^2*y' + 2 = 0,add 2 mul pow x 2 y',c + (2 - x)/x,add c mul pow x -1 sub 2 x
47,9644926,-16*y*ln(5) + y' = 0,add mul mul -16 y log 5 y',5^(16*(x*(x - 4) + x)/x)*c,mul c pow 5 mul div 16 x add x mul x add -4 x
48,521435362,16*y' - 799 = 0,add -799 mul 16 y',c + 799*x/16,add c mul div 799 16 x
49,5605158,-2*x + y' - 4 = 0,add add -4 mul -2 x y',c + (x - 1)*(x + 5),add c mul add -1 x add 5 x
50,3440142,8*x^2*ln(5) - 8*x*y*ln(5) + 8*x*ln(5) + y' - 1 = 0,add add add add -1 mul mul 8 x log 5 mul mul 8 pow x 2 log 5 mul mul mul -8 x y log 5 y',5^(c + 4*x^2) + x + 1,add add 1 x pow 5 add c mul 4 pow x 2
51,656343253,x^3 - x*y' + 2*y - 4 = 0,add add add -4 pow x 3 mul 2 y mul mul -1 x y',x^2*(c + x) + 2,add 2 mul pow x 2 add c x
52,4672858,2*x + y' - 2 = 0,add add -2 mul 2 x y',c + x*(2 - x),add c mul x sub 2 x
53,342809,x^2*sin(1) + x*e^(x) - x*y' + y - e^(x) = 0,add add add add mul -1 exp x mul x exp x mul pow x 2 sin 1 mul mul -1 x y' y,x*(c + x)*sin(1) + e^(x),add mul mul x add c x sin 1 exp x
54,909978494,x^3*ln(5) - x^2*ln(5) - x^2 + x*y*ln(5) - x*y' + 10*x*ln(5) + y + 10 = 0,add add add add add add sub 10 pow x 2 mul pow x 3 log 5 mul mul -1 x y' mul mul -1 pow x 2 log 5 mul mul 10 x log 5 mul mul x y log 5 y,-x*(-5^(c + x) + x) + x - 10,add add -10 x mul mul -1 x sub x pow 5 add c x
55,5411309,5*x*y' - 5*y + 17 = 0,add add 17 mul -5 y mul mul 5 x y',c*x + 17/5,add div 17 5 mul c x
56,880050,5^x + y*ln(5) - y' = 0,add sub pow 5 x y' mul y log 5,5^x*(c + x),mul pow 5 x add c x
57,609774261,x*y' - 2*y*ln(y) = 0,add mul x y' mul mul -2 y log y,6^(c*x^2),pow 6 mul c pow x 2
58,2980943,4*x^3 + 625*y' = 0,add mul 4 pow x 3 mul 625 y',c - x^4/625,add c mul div -1 625 pow x 4
