id,equ_str,equ_prefix,sol_str,sol_prefix
0,x^4*e^(x) + 4*x^3*e^(x) + y' - 1 = 0,add add add -1 mul pow x 4 exp x mul mul 4 pow x 3 exp x y',c - x^4*e^(x) + x,add add c x mul mul -1 pow x 4 exp x
1,-2*y*ln(12) + y' = 0,add mul mul -2 y log 12 y',12^(c + 2*x),pow 12 add c mul 2 x
2,2*x + 9*y' - 9 = 0,add add -9 mul 2 x mul 9 y',c - x^2/9 + x,add add c x mul div -1 9 pow x 2
3,2*x^2 + x*y' - y = 0,add add mul -1 y mul 2 pow x 2 mul x y',c*x + x*(4 - 2*x) + x,add add x mul c x mul x add 4 mul -2 x
4,54*x*e^(y/9) + y' = 0,add mul mul 54 x exp mul div 1 9 y y',-9*ln(c + 3*x^2),mul -9 log add c mul 3 pow x 2
5,2*(y - 1)*y' + 1 = 0,add 1 mul mul 2 add -1 y y',sqrt(c - x) + 1,add 1 sqrt sub c x
6,x*y' + y + 2*y' = 0,add add mul 2 y' mul x y' y,c/(-3*x/16 - 3/8),div c add div -3 8 mul div -3 16 x
7,10*x*y + y' = 0,add mul mul 10 x y y',c*e^(-5*x^2),mul c exp mul -5 pow x 2
8,x*y' + 3*y*ln(y + 2) + 6*ln(y + 2) = 0,add add mul 6 log add 2 y mul x y' mul mul 3 y log add 2 y,e^(c/x^3) - 2,add -2 exp mul c pow x -3
9,32*x + y' - 80 = 0,add add -80 mul 32 x y',c - 16*x*(x - 5),add c mul mul -16 x add -5 x
10,-8*x + y' - 6 = 0,add add -6 mul -8 x y',c + x*(4*x + 6),add c mul x add 6 mul 4 x
11,12*x*y*ln(3) + x*y' - y = 0,add add mul -1 y mul x y' mul mul mul 12 x y log 3,27^(c - 4*x)*x,mul x pow 27 add c mul -4 x
12,-5*x^4 - 2*x + y' + 1 = 0,add add add 1 mul -5 pow x 4 mul -2 x y',c + x*(x^4 + x) - x,add sub c x mul x add x pow x 4
13,x*y' + 2*y + 6*y' = 0,add add mul 2 y mul 6 y' mul x y',c/(-7*x - 42)^2,mul c pow add -42 mul -7 x -2
14,5*x^3 - x*y' + 2*y + 10 = 0,add add add 10 mul 2 y mul 5 pow x 3 mul mul -1 x y',x^2*(c + 5*x) - 5,add -5 mul pow x 2 add c mul 5 x
15,2*x*y^2 - 3*y^2 + 4*y' = 0,add add mul -3 pow y 2 mul 4 y' mul mul 2 x pow y 2,-4/(c - x*(x - 3)),div -4 add c mul mul -1 x add -3 x
