id,equ_str,equ_prefix,sol_str,sol_prefix
22535,3*x^3 + 2*x*y' - 2*y = 0,add add mul -2 y mul 3 pow x 3 mul mul 2 x y',3*x*(c - x^2)/4,mul mul div 3 4 x sub c pow x 2
20708,16*x^3*y - y' = 0,add mul -1 y' mul mul 16 pow x 3 y,c*e^(4*x^4),mul c exp mul 4 pow x 4
17399,x^2 - x*y' + y = 0,add add pow x 2 mul mul -1 x y' y,c*x + x^2 + 3*x,add add pow x 2 mul 3 x mul c x
5026,64*x*cos(4) + y' = 0,add mul mul 64 x cos 4 y',c - 32*x^2*cos(4),add c mul mul -32 pow x 2 cos 4
26041,2*x*e^(4) + y' = 0,add mul mul 2 x exp 4 y',c + x*(-x + 3/x)*e^(4),add c mul mul x add mul -1 x div 3 x exp 4
3177,x*y' + 15*x - 16*y - 64 = 0,add add add -64 mul -16 y mul 15 x mul x y',c*x^16 + x - 4,add add -4 x mul c pow x 16
16168,y^2 + 2*y*y' + 1 = 0,add add 1 pow y 2 mul mul 2 y' y,sqrt(e^(c - x) - 1),sqrt add -1 exp sub c x
21723,50*x^2 - x*y' + y = 0,add add mul 50 pow x 2 mul mul -1 x y' y,2*x*(c + 25*x),mul mul 2 x add c mul 25 x
11686,3^x*ln(3) + (-2*x + y)*(2*y' - 4) = 0,add mul pow 3 x log 3 mul add -4 mul 2 y' add mul -2 x y,2*x + sqrt(-3^x + c),add sqrt sub c pow 3 x mul 2 x
32695,x*y' + y*ln(y) + 2*y = 0,add add mul 2 y mul x y' mul y log y,e^((c - 2*x)/x),exp mul pow x -1 add c mul -2 x
21595,-x*sin(x) + x*y' - 7*x - 2*y - 2*cos(x) = 0,add add add add mul -7 x mul -2 cos x mul -2 y mul x y' mul mul -1 x sin x,x*(c*x - 7) - cos(x),add mul -1 cos x mul x add -7 mul c x
25915,x*y' + 3*x - 2*y = 0,add add mul -2 y mul 3 x mul x y',-3*x*(c*x - 1),mul mul -3 x add -1 mul c x
19454,4*x^3 - 27*y' = 0,add mul -27 y' mul 4 pow x 3,c + x^4/27,add c mul div 1 27 pow x 4
